# Logfile created on 2026-02-25 10:58:53 +0100 by logger.rb/v1.4.3
2026-02-25 10:58:53 +0100: Memory Usage (431932K) : ind_text has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432060K) : salblock_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432060K) : via2_drw has 83 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432060K) : metal3_drw has 29 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432188K) : metal3_pin has 2 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432188K) : metal3_mask has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432188K) : metal3_filler has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432316K) : metal3_nofill has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432316K) : metal3_slit has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432316K) : metal3_text has 2 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432444K) : metal3_opc has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432444K) : metal3_noqrc has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432444K) : metal3_res has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432572K) : metal3_iprobe has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432572K) : metal3_diffprb has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432572K) : nwell_drw has 11 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432700K) : nwell_pin has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432700K) : nbulay_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432700K) : nbulay_pin has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432700K) : nbulay_block has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432700K) : emwind_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432828K) : emwind_opc has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432828K) : deepco_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432828K) : deepco_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432828K) : mim_drw has 3 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432956K) : edgeseal_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (432956K) : edgeseal_bound has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (433084K) : substrate_drw has 5 polygons
2026-02-25 10:58:53 +0100: Memory Usage (433084K) : substrate_text has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (433084K) : dfpad_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (433212K) : dfpad_pillar has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (433212K) : dfpad_sbump has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (433340K) : thickgateox_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (433340K) : pldb_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (433340K) : pwell_drw has 6 polygons
2026-02-25 10:58:53 +0100: Memory Usage (433468K) : pwell_pin has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (433468K) : pwell_block has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (433596K) : ic_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (433596K) : via3_drw has 72 polygons
2026-02-25 10:58:53 +0100: Memory Usage (433724K) : metal4_drw has 18 polygons
2026-02-25 10:58:53 +0100: Memory Usage (433724K) : metal4_pin has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (433724K) : metal4_mask has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (433852K) : metal4_filler has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (433852K) : metal4_nofill has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (433852K) : metal4_slit has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (433980K) : metal4_text has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (433980K) : metal4_opc has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (433980K) : metal4_noqrc has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (434108K) : metal4_res has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (434108K) : metal4_iprobe has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (434236K) : metal4_diffprb has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (434236K) : heattrans_drw has 18 polygons
2026-02-25 10:58:53 +0100: Memory Usage (434364K) : heatres_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (434364K) : pempoly_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (434364K) : fbe_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (434492K) : empoly_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (434492K) : ldmos_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (434620K) : pbiwind_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (434620K) : digisub_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (434620K) : nodrc_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (434748K) : text_drw has 18 polygons
2026-02-25 10:58:53 +0100: Memory Usage (434748K) : via4_drw has 72 polygons
2026-02-25 10:58:53 +0100: Memory Usage (434876K) : metal5_drw has 17 polygons
2026-02-25 10:58:53 +0100: Memory Usage (434876K) : metal5_pin has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (435004K) : metal5_mask has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (435004K) : metal5_filler has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (435004K) : metal5_nofill has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (435004K) : metal5_slit has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (435132K) : metal5_text has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (435132K) : metal5_opc has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (435132K) : metal5_noqrc has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (435260K) : metal5_res has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (435260K) : metal5_iprobe has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (435388K) : metal5_diffprb has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (435388K) : radhard_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (435388K) : memcap_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (435516K) : varicap_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (435516K) : flash_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (435644K) : intbondvia_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (435644K) : intbondmet_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (435772K) : devbondvia_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (435772K) : devbondmet_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (435772K) : devtrench_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (435900K) : redist_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (435900K) : graphbot_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (436028K) : graphtop_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (436028K) : antvia1_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (436028K) : antmetal2_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (436156K) : graphcont_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (436156K) : siwg_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (436284K) : siwg_filler has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (436284K) : siwg_nofill has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (436284K) : sigrating_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (436284K) : singrating_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (436412K) : graphpas_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (436412K) : emwind3_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (436412K) : emwihv3_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (436540K) : redbulay_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (436540K) : smos_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (436668K) : graphpad_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (436668K) : polimide_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (436668K) : polimide_pin has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (436796K) : recog_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (436796K) : recog_pin has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (436924K) : recog_esd has 0 polygons
