# Logfile created on 2026-02-11 05:35:43 +0100 by logger.rb/v1.4.3
2026-02-11 05:35:44 +0100: Memory Usage (432480K) : backmetal1_res has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (432480K) : backmetal1_iprobe has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (432608K) : backmetal1_diffprb has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (432608K) : backpassiv_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (432608K) : res_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (432608K) : sram_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (432736K) : trans_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (432736K) : ind_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (432736K) : ind_pin has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (432864K) : ind_text has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (432864K) : salblock_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (432864K) : via2_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (432992K) : metal3_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (432992K) : metal3_pin has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (432992K) : metal3_mask has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (433120K) : metal3_filler has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (433120K) : metal3_nofill has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (433120K) : metal3_slit has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (433248K) : metal3_text has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (433248K) : metal3_opc has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (433248K) : metal3_noqrc has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (433376K) : metal3_res has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (433376K) : metal3_iprobe has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (433376K) : metal3_diffprb has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (433504K) : nwell_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (433504K) : nwell_pin has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (433504K) : nbulay_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (433504K) : nbulay_pin has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (433504K) : nbulay_block has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (433632K) : emwind_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (433632K) : emwind_opc has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (433632K) : deepco_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (433760K) : deepco_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (434016K) : mim_drw has 168 polygons
2026-02-11 05:35:44 +0100: Memory Usage (434144K) : edgeseal_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (434144K) : edgeseal_bound has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (434272K) : substrate_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (434272K) : substrate_text has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (434272K) : dfpad_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (434400K) : dfpad_pillar has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (434400K) : dfpad_sbump has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (434528K) : thickgateox_drw has 0 polygons
