# Logfile created on 2026-02-26 05:26:36 +0100 by logger.rb/v1.4.3
2026-02-26 05:26:36 +0100: Memory Usage (433704K) : emwind_opc has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (433704K) : deepco_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (433704K) : deepco_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (433832K) : mim_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (433832K) : edgeseal_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (433960K) : edgeseal_bound has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (433960K) : substrate_drw has 21 polygons
2026-02-26 05:26:36 +0100: Memory Usage (433960K) : substrate_text has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (434088K) : dfpad_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (434088K) : dfpad_pillar has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (434216K) : dfpad_sbump has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (434216K) : thickgateox_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (434344K) : pldb_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (434344K) : pwell_drw has 21 polygons
2026-02-26 05:26:36 +0100: Memory Usage (434344K) : pwell_pin has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (434472K) : pwell_block has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (434472K) : ic_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (434600K) : via3_drw has 25 polygons
2026-02-26 05:26:36 +0100: Memory Usage (434600K) : metal4_drw has 8 polygons
2026-02-26 05:26:36 +0100: Memory Usage (434600K) : metal4_pin has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (434728K) : metal4_mask has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (434728K) : metal4_filler has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (434728K) : metal4_nofill has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (434856K) : metal4_slit has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (434856K) : metal4_text has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (434856K) : metal4_opc has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (434984K) : metal4_noqrc has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (434984K) : metal4_res has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (435112K) : metal4_iprobe has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (435112K) : metal4_diffprb has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (435112K) : heattrans_drw has 42 polygons
2026-02-26 05:26:36 +0100: Memory Usage (435240K) : heatres_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (435240K) : pempoly_drw has 0 polygons
